open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2735.41;2736.16;2729.19;2734.69;0;2018-05-25 02:00:00;^SPX;2018-05-25 02:00:00;240min;US/Eastern
2734.94;2735.69;2719.23;2719.73;0;2018-05-25 06:00:00;^SPX;2018-05-25 06:00:00;240min;US/Eastern
2719.48;2727.56;2716.98;2719.91;0;2018-05-25 10:00:00;^SPX;2018-05-25 10:00:00;240min;US/Eastern
2719.66;2722.59;2714.61;2721.84;0;2018-05-25 14:00:00;^SPX;2018-05-25 14:00:00;240min;US/Eastern
2730.62;2731.89;2727.13;2729.64;0;2018-05-27 18:00:00;^SPX;2018-05-27 18:00:00;240min;US/Eastern
2729.39;2731.89;2728.15;2730.17;0;2018-05-27 22:00:00;^SPX;2018-05-27 22:00:00;240min;US/Eastern
2730.04;2732.92;2728.69;2728.82;0;2018-05-28 02:00:00;^SPX;2018-05-28 02:00:00;240min;US/Eastern
2728.94;2729.19;2719.47;2720.72;0;2018-05-28 06:00:00;^SPX;2018-05-28 06:00:00;240min;US/Eastern
2720.47;2725.73;2719.99;2724.37;0;2018-05-28 10:00:00;^SPX;2018-05-28 10:00:00;240min;US/Eastern
2722.53;2725.16;2721.77;2722.40;0;2018-05-28 18:00:00;^SPX;2018-05-28 18:00:00;240min;US/Eastern
2721.90;2721.90;2719.15;2719.68;0;2018-05-28 22:00:00;^SPX;2018-05-28 22:00:00;240min;US/Eastern
2719.43;2720.93;2691.22;2698.47;0;2018-05-29 02:00:00;^SPX;2018-05-29 02:00:00;240min;US/Eastern
2698.22;2706.48;2694.73;2705.98;0;2018-05-29 06:00:00;^SPX;2018-05-29 06:00:00;240min;US/Eastern
2706.23;2710.50;2677.67;2691.44;0;2018-05-29 10:00:00;^SPX;2018-05-29 10:00:00;240min;US/Eastern
2691.19;2694.86;2676.39;2694.61;0;2018-05-29 14:00:00;^SPX;2018-05-29 14:00:00;240min;US/Eastern
2694.00;2694.50;2687.41;2689.66;0;2018-05-29 18:00:00;^SPX;2018-05-29 18:00:00;240min;US/Eastern
2689.41;2696.15;2686.67;2693.93;0;2018-05-29 22:00:00;^SPX;2018-05-29 22:00:00;240min;US/Eastern
2693.68;2704.93;2689.19;2699.70;0;2018-05-30 02:00:00;^SPX;2018-05-30 02:00:00;240min;US/Eastern
2699.95;2708.45;2697.70;2703.09;0;2018-05-30 06:00:00;^SPX;2018-05-30 06:00:00;240min;US/Eastern
2703.22;2724.78;2700.72;2722.24;0;2018-05-30 10:00:00;^SPX;2018-05-30 10:00:00;240min;US/Eastern
2722.49;2729.30;2720.49;2723.24;0;2018-05-30 14:00:00;^SPX;2018-05-30 14:00:00;240min;US/Eastern
2720.41;2722.20;2718.04;2722.20;0;2018-05-30 18:00:00;^SPX;2018-05-30 18:00:00;240min;US/Eastern
2721.95;2723.22;2719.46;2722.73;0;2018-05-30 22:00:00;^SPX;2018-05-30 22:00:00;240min;US/Eastern
2722.98;2727.75;2719.49;2726.01;0;2018-05-31 02:00:00;^SPX;2018-05-31 02:00:00;240min;US/Eastern
2725.76;2726.52;2721.26;2724.27;0;2018-05-31 06:00:00;^SPX;2018-05-31 06:00:00;240min;US/Eastern
2724.02;2724.02;2707.34;2714.22;0;2018-05-31 10:00:00;^SPX;2018-05-31 10:00:00;240min;US/Eastern
2713.97;2714.71;2700.15;2707.08;0;2018-05-31 14:00:00;^SPX;2018-05-31 14:00:00;240min;US/Eastern
2707.57;2709.59;2705.82;2709.34;0;2018-05-31 18:00:00;^SPX;2018-05-31 18:00:00;240min;US/Eastern
2709.59;2712.35;2707.11;2708.61;0;2018-05-31 22:00:00;^SPX;2018-05-31 22:00:00;240min;US/Eastern
2708.36;2718.36;2707.37;2714.64;0;2018-06-01 02:00:00;^SPX;2018-06-01 02:00:00;240min;US/Eastern
